BookingID,CustomerID,DestinationID,HotelID,TransportID,BookingDate,TravelDate,Travellers,Nights,BookingChannel,BookingStatus,PaymentMethod,HotelAmount,TransportAmount,ActivityAmount,Discount,TotalAmount
B000065,C0058,D017,H025,T007,2025-11-22,2025-12-21,3,6,Corporate,Cancelled,Wallet,41688,20079,10137,732.7589676299312,71171.24
B000066,C0007,D010,H026,T001,2025-10-30,2025-11-13,1,3,Website,Confirmed,Card,11364,11938,3664,4767.547176097001,22198.45
B000067,C0099,D017,H023,T006,2025-03-22,2025-04-07,2,6,Corporate,Confirmed,Card,205836,18238,4300,37757.86000295267,190616.14
B000068,C0046,D019,H001,T001,2025-12-12,2026-01-17,4,7,Agent,Completed,Wallet,433972,66600,36584,58730.940869968275,478425.06
B000069,C0027,D010,H026,T002,2026-04-04,2026-05-21,2,1,Mobile App,Confirmed,Card,7576,34448,2664,200.25108561315898,44487.75
B000070,C0052,D002,H012,T007,2025-02-27,2025-05-18,3,7,Mobile App,Confirmed,Card,262878,48090,21438,37390.99592242871,295015.0
B000071,C0080,D007,H013,T002,2026-01-30,2026-04-21,1,5,Agent,Confirmed,UPI,42225,16943,8151,734.9760503994158,66584.02
B000072,C0032,D005,H029,T004,2025-03-18,2025-03-20,3,9,Corporate,Completed,Card,438696,95745,29310,36122.791774917845,527628.21
B000073,C0005,D010,H027,T006,2026-02-13,2026-04-18,2,2,Agent,Completed,NetBanking,11580,67262,13548,11620.99193808481,80769.01
B000074,C0006,D012,H002,T007,2025-08-17,2025-09-14,1,9,Website,Confirmed,Wallet,146070,17912,6740,31170.86950130652,139551.13
B000075,C0086,D010,H011,T005,2025-01-04,2025-01-23,1,5,Mobile App,Completed,UPI,36180,33761,9249,5666.767302915624,73523.23
B000076,C0012,D004,H023,T001,2026-06-11,2026-07-31,3,6,Agent,Completed,NetBanking,308754,86757,30963,73355.55655628759,353118.44
B000077,C0064,D007,H017,T008,2025-04-01,2025-04-05,2,6,Mobile App,Confirmed,Wallet,164796,57936,5850,41984.15929587417,186597.84
B000078,C0039,D014,H008,T010,2025-11-21,2025-12-22,1,6,Corporate,Confirmed,Wallet,41508,9059,9654,253.45670500398504,59967.54
B000079,C0078,D001,H016,T009,2025-04-09,2025-05-29,3,9,Agent,Confirmed,Wallet,89910,48561,17451,7466.413463610044,148455.59
B000080,C0007,D005,H026,T008,2026-05-24,2026-06-18,1,2,Website,Confirmed,UPI,7576,13294,1630,3194.3803465237443,19305.62
B000081,C0090,D018,H007,T005,2026-02-07,2026-04-02,1,7,Agent,Confirmed,Card,65842,4731,7542,11824.158862031787,66290.84
B000082,C0070,D002,H023,T009,2026-03-15,2026-04-26,1,9,Website,Confirmed,Wallet,154377,4015,11735,13352.140295375353,156774.86
B000083,C0045,D009,H023,T005,2025-08-24,2025-11-04,3,2,Mobile App,Confirmed,Wallet,102918,67053,6354,23160.451419434732,153164.55
B000084,C0021,D005,H027,T002,2025-09-12,2025-09-29,5,3,Mobile App,Confirmed,NetBanking,43425,77975,3345,15272.745344565416,109472.25
B000085,C0098,D003,H009,T009,2025-12-12,2025-12-19,2,5,Corporate,Completed,Wallet,21580,58322,22078,15088.45011681522,86891.55
B000086,C0031,D009,H007,T004,2026-03-04,2026-04-21,2,7,Corporate,Confirmed,NetBanking,131684,47802,14726,27914.418113847118,166297.58
B000087,C0050,D011,H017,T010,2026-04-07,2026-05-01,2,9,Mobile App,Cancelled,UPI,247194,8706,6038,4498.565016799855,257439.43
B000088,C0040,D004,H016,T004,2025-01-10,2025-03-15,2,8,Agent,Completed,Wallet,53280,59156,19226,4167.107064586061,127494.89
B000089,C0024,D002,H013,T009,2025-12-28,2026-01-07,4,8,Agent,Completed,UPI,270240,72476,20108,9631.318895442815,353192.68
B000090,C0042,D003,H024,T006,2025-03-01,2025-04-22,2,4,Agent,Cancelled,Card,45624,40916,8632,17749.198641416155,77422.8
B000091,C0016,D014,H024,T005,2025-06-06,2025-09-03,4,6,Agent,Completed,UPI,136872,135400,15328,52546.97313326394,235053.03
B000092,C0001,D018,H008,T003,2026-03-29,2026-04-08,5,2,Corporate,Confirmed,NetBanking,69180,114710,36915,35214.52323767179,185590.48
B000093,C0029,D004,H024,T009,2025-05-17,2025-06-14,5,5,Corporate,Completed,UPI,142575,11230,10235,3829.3025386568734,160210.7
B000094,C0012,D007,H007,T001,2026-03-11,2026-05-26,3,2,Corporate,Confirmed,NetBanking,56436,22314,13992,10651.816932656448,82090.18
B000095,C0042,D007,H013,T005,2025-09-10,2025-10-28,4,1,Website,Completed,Wallet,33780,63128,16032,4229.165382117564,108710.83
B000096,C0087,D008,H001,T004,2025-05-07,2025-05-24,5,8,Mobile App,Confirmed,Wallet,619960,13730,5985,47129.1990515854,592545.8
B000097,C0017,D005,H011,T006,2025-07-02,2025-07-22,4,8,Mobile App,Confirmed,Card,231552,28440,37104,15870.34998477377,281225.65
B000098,C0001,D002,H029,T003,2025-10-17,2025-12-25,2,5,Agent,Confirmed,Wallet,162480,56042,1194,36425.879905700014,183290.12
B000099,C0012,D011,H014,T007,2026-02-22,2026-05-10,1,1,Agent,Cancelled,Card,7853,6283,11536,741.6712656917565,24930.33
B000100,C0051,D008,H022,T004,2025-11-27,2025-12-30,1,1,Agent,Confirmed,NetBanking,16976,7095,1590,3316.320729140631,22344.68
B000101,C0028,D007,H004,T002,2026-05-24,2026-07-06,5,2,Mobile App,Confirmed,NetBanking,162730,92030,23095,54676.010360705375,223178.99
B000102,C0049,D006,H020,T002,2026-04-18,2026-06-27,3,7,Mobile App,Confirmed,UPI,127071,13662,4893,20010.602148178725,125615.4
B000103,C0003,D019,H012,T007,2026-02-15,2026-03-04,2,2,Mobile App,Confirmed,UPI,50072,20130,9438,1262.0310129028542,78377.97
B000104,C0034,D013,H023,T003,2025-11-25,2025-12-15,2,3,Corporate,Completed,UPI,102918,65816,15050,33369.642573736135,150414.36
B000105,C0042,D009,H028,T004,2025-06-07,2025-08-16,2,8,Mobile App,Completed,Wallet,244224,45308,3012,37625.82024600505,254918.18
B000106,C0044,D005,H016,T007,2025-08-13,2025-08-31,5,8,Website,Confirmed,Wallet,133200,168885,32735,30556.408438282848,304263.59
B000107,C0056,D017,H004,T004,2025-03-06,2025-05-14,4,7,Corporate,Confirmed,Card,455644,53468,37504,72119.69277004641,474496.31
B000108,C0079,D018,H015,T004,2025-07-23,2025-09-06,5,3,Website,Confirmed,Wallet,242355,110720,28685,67116.79272024678,314643.21
B000109,C0047,D001,H004,T003,2026-05-20,2026-08-17,2,6,Agent,Confirmed,UPI,195276,18982,3586,20787.860767593917,197056.14
B000110,C0085,D019,H014,T004,2025-08-21,2025-08-25,3,2,Corporate,Completed,Wallet,47118,42552,25371,12224.750940840333,102816.25
B000111,C0053,D014,H002,T007,2025-03-03,2025-05-27,1,8,Mobile App,Completed,UPI,129840,7350,2644,12653.505924448664,127180.49
B000112,C0027,D002,H020,T006,2025-12-22,2026-01-12,5,1,Mobile App,Confirmed,UPI,30255,147065,3465,2624.6882015847636,178160.31
B000113,C0023,D016,H010,T010,2026-06-09,2026-06-14,3,7,Mobile App,Completed,Wallet,300426,22995,16569,53519.19449080652,286470.81
B000114,C0033,D003,H007,T008,2026-04-18,2026-06-22,3,5,Website,Confirmed,Card,141090,25074,10848,4475.279113105839,172536.72
B000115,C0060,D002,H001,T001,2025-05-30,2025-07-17,3,7,Website,Completed,Card,325479,51111,2481,29914.00967400002,349156.99
B000116,C0025,D003,H027,T004,2025-09-05,2025-11-19,2,5,Website,Confirmed,Wallet,28950,31768,18880,6158.064972936805,73439.94
B000117,C0092,D010,H026,T003,2025-10-17,2025-10-28,5,2,Mobile App,Completed,Card,37880,60065,36980,7556.900774460623,127368.1
B000118,C0048,D013,H025,T006,2025-05-16,2025-05-25,3,7,Agent,Confirmed,Wallet,48636,40380,32892,9813.767740707353,112094.23
B000119,C0087,D009,H002,T003,2025-05-27,2025-07-17,4,6,Website,Cancelled,UPI,389520,45532,24096,56751.529402774264,402396.47
B000120,C0069,D003,H011,T010,2025-05-09,2025-07-27,1,5,Corporate,Confirmed,UPI,36180,32075,5540,4595.765340873618,69199.23
B000121,C0034,D004,H030,T003,2026-06-27,2026-08-03,2,4,Agent,Confirmed,Card,34264,41884,20380,3330.4464644278455,93197.55
B000122,C0023,D018,H018,T006,2026-02-11,2026-04-24,5,4,Website,Confirmed,NetBanking,277940,161560,7185,77666.68528618768,369018.31
B000123,C0075,D020,H004,T002,2026-04-04,2026-06-24,1,5,Corporate,Confirmed,UPI,81365,34558,4659,23412.988517014623,97169.01
B000124,C0034,D016,H005,T010,2026-03-22,2026-06-08,1,3,Website,Confirmed,UPI,11034,23304,9685,4037.6471357014525,39985.35
B000125,C0025,D003,H008,T010,2026-06-07,2026-07-23,5,3,Agent,Completed,NetBanking,103770,145795,19320,17586.13907075479,251298.86
B000126,C0094,D017,H030,T008,2025-02-27,2025-05-01,2,3,Mobile App,Completed,Card,25698,10418,21358,545.7969876451905,56928.2
B000127,C0049,D014,H006,T004,2026-04-26,2026-06-13,2,1,Agent,Confirmed,Card,20410,66610,7532,696.8773735523488,93855.12
B000128,C0005,D011,H028,T001,2025-02-06,2025-04-08,3,9,Corporate,Completed,UPI,412128,52959,15771,37784.09013241135,443073.91
B000129,C0050,D003,H021,T008,2025-09-17,2025-11-07,1,3,Corporate,Completed,UPI,5655,25400,10819,7790.590854866928,34083.41
B000130,C0047,D020,H028,T005,2025-11-20,2026-01-07,1,2,Mobile App,Confirmed,UPI,30528,9718,3298,6363.594562775545,37180.41
B000131,C0087,D009,H025,T010,2025-07-15,2025-08-24,1,2,Agent,Confirmed,NetBanking,4632,4699,11633,1464.4168194413855,19499.58
B000132,C0072,D001,H010,T007,2025-03-21,2025-05-19,1,9,Corporate,Confirmed,UPI,128754,31144,1005,31152.314790213833,129750.69
B000133,C0020,D005,H025,T006,2025-04-15,2025-06-22,1,5,Agent,Confirmed,UPI,11580,16556,3556,2717.639093996124,28974.36
B000134,C0016,D009,H006,T010,2026-03-26,2026-06-16,4,3,Corporate,Completed,Wallet,122460,24544,29188,9753.733429276155,166438.27
B000135,C0061,D002,H009,T009,2025-06-23,2025-08-17,2,4,Mobile App,Completed,Card,17264,47116,14664,6740.133175198419,72303.87
B000136,C0005,D007,H007,T005,2025-06-19,2025-06-29,1,1,Mobile App,Completed,NetBanking,9406,3319,10963,1002.2071921586062,22685.79
B000137,C0032,D010,H004,T001,2026-05-19,2026-07-11,1,3,Agent,Confirmed,Card,48819,16590,11537,13629.272162374085,63316.73
B000138,C0014,D019,H003,T001,2025-03-20,2025-04-18,3,3,Corporate,Completed,Wallet,48771,75294,24885,10759.352917342994,138190.65
B000139,C0003,D002,H006,T005,2026-05-14,2026-05-18,5,8,Corporate,Completed,Wallet,408200,128170,40430,75903.29974406492,500896.7
B000140,C0092,D012,H004,T006,2026-05-17,2026-05-25,2,1,Agent,Confirmed,Card,32546,33370,8296,5774.394143872292,68437.61
B000141,C0009,D019,H012,T001,2025-11-23,2026-01-16,1,4,Agent,Completed,NetBanking,50072,13893,9764,13296.751143012998,60432.25
B000142,C0001,D017,H003,T002,2025-04-01,2025-06-25,2,8,Agent,Confirmed,Card,86704,59170,15786,20769.454464469756,140890.55
B000143,C0094,D019,H002,T008,2025-03-26,2025-05-11,3,8,Mobile App,Confirmed,Wallet,389520,23064,2328,40516.31366007891,374395.69
B000144,C0019,D004,H030,T008,2025-06-05,2025-07-16,1,5,Mobile App,Confirmed,Card,21415,4000,10068,937.7657950922868,34545.23
B000145,C0082,D017,H003,T001,2025-11-11,2025-11-20,5,3,Mobile App,Confirmed,Wallet,81285,33770,23180,24935.289977874894,113299.71
B000146,C0004,D020,H003,T006,2025-03-25,2025-05-25,4,4,Corporate,Completed,NetBanking,86704,113344,23888,24490.39644266146,199445.6
B000147,C0016,D007,H001,T001,2025-09-06,2025-09-12,2,3,Agent,Confirmed,NetBanking,92994,34482,12180,7961.871598379945,131694.13
B000148,C0012,D010,H004,T008,2025-03-04,2025-05-19,5,6,Corporate,Confirmed,Card,488190,13750,49635,96848.50507075973,454726.49
B000149,C0071,D011,H016,T009,2025-10-22,2026-01-03,2,3,Website,Confirmed,Wallet,19980,14306,7162,451.2893669286829,40996.71
B000150,C0063,D010,H025,T009,2025-01-12,2025-04-11,1,6,Corporate,Confirmed,NetBanking,13896,2440,5006,1340.6059139295437,20001.39
B000151,C0048,D006,H023,T006,2026-01-22,2026-02-18,5,6,Agent,Confirmed,Wallet,514590,143915,4745,71210.28741946489,592039.71
B000152,C0025,D020,H018,T007,2025-01-31,2025-02-16,5,9,Corporate,Confirmed,Wallet,625365,84770,22535,49794.353917767905,682875.65
B000153,C0009,D020,H003,T010,2025-04-17,2025-05-15,2,4,Mobile App,Completed,UPI,43352,7560,3032,5143.390534431422,48800.61
B000154,C0057,D008,H024,T007,2025-04-06,2025-06-17,3,9,Mobile App,Confirmed,Wallet,153981,26739,21612,10695.927193326526,191636.07
B000155,C0024,D017,H002,T005,2026-03-29,2026-04-19,1,4,Website,Completed,Wallet,64920,22151,10771,2545.517956611305,95296.48
B000156,C0060,D008,H019,T008,2025-01-30,2025-04-20,4,7,Corporate,Confirmed,UPI,222740,85556,23372,2444.667689354795,329223.33
B000157,C0069,D016,H013,T006,2025-08-22,2025-09-06,4,6,Agent,Completed,Wallet,202680,115784,43956,11426.853611091696,350993.15
B000158,C0085,D012,H027,T009,2025-11-19,2025-11-25,4,8,Corporate,Completed,NetBanking,92640,9456,46944,28405.42969005159,120634.57
B000159,C0050,D010,H010,T006,2025-10-09,2025-10-30,3,5,Website,Confirmed,Card,214590,11472,3354,26401.337047516237,203014.66
B000160,C0001,D003,H020,T009,2026-01-06,2026-03-15,4,8,Website,Confirmed,UPI,193632,10740,25752,22504.291973892665,207619.71
B000161,C0029,D014,H014,T001,2026-03-14,2026-05-08,3,4,Corporate,Cancelled,Card,94236,44103,19725,12149.552667203503,145914.45
B000162,C0086,D007,H016,T001,2025-08-03,2025-09-05,5,5,Website,Confirmed,UPI,83250,129295,24645,33606.03488515984,203583.97
B000163,C0054,D005,H029,T001,2026-03-28,2026-05-26,1,5,Agent,Completed,NetBanking,81240,23710,10050,3248.967945840147,111751.03
B000164,C0062,D004,H022,T006,2025-06-23,2025-08-21,3,7,Mobile App,Confirmed,NetBanking,356496,25620,15123,21937.910499295274,375301.09
B000165,C0046,D020,H013,T008,2026-06-21,2026-08-10,3,6,Corporate,Confirmed,NetBanking,152010,70551,3402,29641.922133116113,196321.08
B000166,C0017,D003,H014,T003,2025-10-02,2025-11-18,3,1,Corporate,Confirmed,NetBanking,23559,70467,20403,10963.771235024611,103465.23
B000167,C0090,D016,H022,T002,2026-02-06,2026-02-16,1,8,Corporate,Completed,Card,135808,7911,2821,22569.872131812972,123970.13
B000168,C0078,D018,H011,T009,2026-04-22,2026-05-16,2,7,Mobile App,Confirmed,NetBanking,101304,53244,9162,29373.170510828742,134336.83
B000169,C0100,D001,H006,T008,2026-03-08,2026-04-25,5,1,Agent,Completed,Wallet,51025,78230,31355,26448.37438000822,134161.63
B000170,C0086,D012,H015,T007,2026-04-09,2026-04-22,1,9,Agent,Completed,UPI,145413,3487,8813,5810.390247840566,151902.61
B000171,C0030,D012,H003,T005,2025-10-20,2025-12-02,4,6,Corporate,Confirmed,Card,130056,58336,14792,3717.0576670627215,199466.94
B000172,C0026,D008,H006,T005,2025-01-24,2025-02-05,4,1,Website,Confirmed,Wallet,40820,109144,19508,5743.087491114093,163728.91
B000173,C0025,D014,H013,T001,2025-09-26,2025-12-06,3,5,Corporate,Confirmed,Wallet,126675,74469,3840,32122.251057396334,172861.75
B000174,C0092,D009,H024,T002,2025-04-09,2025-04-20,1,8,Mobile App,Confirmed,Wallet,45624,10492,4917,11154.77057700172,49878.23
B000175,C0056,D009,H024,T009,2026-04-30,2026-05-10,1,3,Website,Completed,UPI,17109,26856,7172,9464.935749554432,41672.06
B000176,C0046,D009,H008,T004,2025-05-10,2025-07-07,2,9,Agent,Confirmed,Card,124524,29098,15190,10068.480767040732,158743.52
B000177,C0097,D017,H013,T008,2025-05-05,2025-05-26,1,4,Corporate,Confirmed,UPI,33780,16918,3872,9171.485799639977,45398.51
B000178,C0061,D013,H005,T008,2025-05-16,2025-06-17,1,3,Website,Completed,Wallet,11034,4402,1199,1784.0556250185157,14850.94
B000179,C0091,D008,H023,T004,2025-12-17,2026-01-15,1,4,Website,Completed,NetBanking,68612,34901,7139,18208.712720685166,92443.29
B000180,C0099,D019,H008,T003,2025-11-08,2025-11-29,1,5,Corporate,Confirmed,UPI,34590,29594,8036,7920.581783336736,64299.42
B000181,C0008,D017,H024,T007,2026-06-02,2026-08-10,5,7,Corporate,Completed,UPI,199605,40150,7395,7211.501853681812,239938.5
B000182,C0037,D019,H026,T001,2025-08-15,2025-10-16,4,9,Website,Confirmed,NetBanking,136368,81136,25228,3845.8240142150166,238886.18
B000183,C0074,D015,H021,T005,2025-06-03,2025-06-26,1,2,Corporate,Completed,Wallet,3770,27641,1593,6318.412160101008,26685.59
B000184,C0082,D008,H010,T009,2025-01-27,2025-03-30,4,9,Corporate,Confirmed,Wallet,515016,73624,22836,52073.60879931124,559402.39
B000185,C0015,D016,H029,T008,2025-01-04,2025-03-09,1,5,Corporate,Confirmed,Wallet,81240,8561,7869,6847.070277424206,90822.93
B000186,C0032,D007,H021,T008,2025-07-23,2025-09-10,3,2,Website,Confirmed,Wallet,11310,101838,26313,9938.076900974667,129522.92
B000187,C0055,D006,H020,T001,2026-05-20,2026-07-11,1,9,Agent,Completed,Wallet,54459,10505,8708,5583.371192444195,68088.63
B000188,C0080,D010,H026,T002,2025-10-13,2026-01-05,1,4,Corporate,Completed,Wallet,15152,12705,9219,7007.340478202097,30068.66
B000189,C0012,D020,H027,T003,2026-05-02,2026-06-12,1,6,Corporate,Confirmed,Wallet,17370,13949,3274,433.8279584076125,34159.17
B000190,C0061,D012,H003,T003,2025-02-25,2025-04-01,3,7,Agent,Completed,Card,113799,94023,30693,5679.5805919978175,232835.42
B000191,C0030,D008,H027,T002,2025-02-20,2025-04-10,3,1,Website,Completed,Wallet,8685,54750,13563,12160.317477814286,64837.68
B000192,C0022,D010,H023,T010,2026-03-31,2026-06-14,2,2,Website,Confirmed,Wallet,68612,51218,9620,14224.21173079619,115225.79
B000193,C0052,D006,H007,T002,2025-02-28,2025-05-03,4,7,Mobile App,Completed,UPI,263368,126760,38228,11011.89829862431,417344.1
