ReviewID,BookingID,Rating,ReviewDate,ReviewCategory
R00080,B000894,4,2026-02-20,Destination
R00081,B000008,4,2025-02-11,Overall
R00082,B000111,5,2025-05-30,Destination
R00083,B000987,3,2026-02-16,Destination
R00084,B000926,5,2025-10-20,Transport
R00085,B000322,4,2026-02-15,Overall
R00086,B000521,1,2025-07-02,Overall
R00087,B000573,2,2025-01-21,Hotel
R00088,B000669,4,2026-03-04,Hotel
R00089,B000751,1,2026-03-04,Hotel
R00090,B000373,4,2025-12-15,Transport
R00091,B000890,2,2025-08-09,Hotel
R00092,B000060,2,2025-01-05,Overall
R00093,B000033,3,2026-02-01,Overall
R00094,B000958,5,2025-12-26,Hotel
R00095,B000178,5,2025-12-30,Overall
R00096,B000995,3,2025-04-03,Hotel
R00097,B000286,1,2026-02-03,Overall
R00098,B000365,5,2026-01-30,Transport
R00099,B000028,5,2026-04-13,Hotel
R00100,B000944,4,2025-11-06,Transport
R00101,B000360,4,2026-02-03,Overall
R00102,B000168,3,2025-08-07,Overall
R00103,B000484,1,2026-01-15,Hotel
R00104,B000155,1,2026-01-14,Overall
R00105,B000790,1,2026-03-01,Transport
R00106,B000074,5,2026-04-12,Transport
R00107,B000500,1,2025-01-02,Hotel
R00108,B000392,3,2026-03-01,Overall
R00109,B000038,2,2026-03-08,Overall
R00110,B000053,1,2025-10-25,Destination
R00111,B000519,5,2025-10-11,Destination
R00112,B000395,1,2026-01-29,Overall
R00113,B000130,5,2025-09-06,Hotel
R00114,B000139,4,2025-08-14,Hotel
R00115,B000805,4,2026-03-14,Hotel
R00116,B000731,1,2026-03-07,Transport
R00117,B000608,5,2025-04-23,Transport
R00118,B000834,3,2026-03-28,Hotel
R00119,B000070,3,2025-06-27,Destination
R00120,B000688,4,2025-03-16,Hotel
R00121,B000753,2,2026-04-24,Overall
R00122,B000201,2,2025-05-10,Destination
R00123,B000537,2,2025-04-21,Overall
R00124,B000767,3,2025-05-28,Hotel
R00125,B000604,4,2025-09-25,Overall
R00126,B000250,2,2025-04-01,Destination
R00127,B000665,2,2025-03-28,Overall
R00128,B000760,5,2025-08-02,Destination
R00129,B000010,3,2025-04-29,Destination
R00130,B000568,5,2025-04-16,Hotel
R00131,B000505,2,2026-05-13,Destination
R00132,B000367,2,2025-11-21,Transport
R00133,B000045,2,2025-01-08,Overall
R00134,B000084,3,2025-02-25,Destination
R00135,B000751,4,2026-03-20,Hotel
R00136,B000828,3,2025-05-28,Overall
R00137,B000420,2,2025-03-25,Hotel
R00138,B000940,5,2025-12-29,Transport
R00139,B000928,3,2026-04-02,Hotel
R00140,B000666,2,2025-08-06,Overall
R00141,B000581,1,2026-02-09,Hotel
R00142,B000965,3,2025-08-18,Overall
R00143,B000610,4,2025-03-01,Hotel
R00144,B000935,5,2026-03-11,Destination
R00145,B000979,2,2026-05-16,Hotel
R00146,B000195,1,2026-06-21,Transport
R00147,B000661,5,2025-02-24,Destination
R00148,B000732,3,2025-11-04,Destination
R00149,B000821,1,2025-12-06,Overall
R00150,B000350,1,2025-02-13,Overall
R00151,B000862,3,2026-06-03,Destination
R00152,B000488,4,2025-02-26,Transport
R00153,B000387,2,2025-05-27,Transport
R00154,B000157,2,2026-06-12,Overall
R00155,B000322,4,2025-10-31,Destination
R00156,B000975,5,2026-01-06,Overall
R00157,B000717,3,2025-09-27,Transport
R00158,B000727,3,2026-02-15,Transport
R00159,B000896,2,2025-02-14,Overall
R00160,B000267,1,2026-01-04,Destination
R00161,B000662,1,2025-02-06,Hotel
R00162,B000372,5,2025-04-08,Destination
R00163,B000848,1,2025-10-03,Hotel
R00164,B000423,5,2025-09-02,Overall
R00165,B000855,2,2025-03-25,Hotel
R00166,B000748,4,2026-03-11,Overall
R00167,B000772,5,2025-06-14,Overall
R00168,B000926,4,2026-04-18,Hotel
R00169,B000791,4,2025-01-09,Destination
R00170,B000322,2,2025-05-10,Hotel
R00171,B000522,3,2025-06-11,Transport
R00172,B000473,4,2025-11-21,Transport
R00173,B000065,3,2025-08-07,Destination
R00174,B000594,1,2025-03-27,Overall
R00175,B000438,5,2025-11-08,Transport
R00176,B000394,1,2026-06-07,Transport
R00177,B000110,5,2025-03-14,Hotel
R00178,B000505,5,2025-05-18,Overall
R00179,B000580,1,2025-09-18,Transport
R00180,B000106,4,2026-02-01,Transport
R00181,B000635,4,2025-03-16,Hotel
R00182,B000168,2,2025-05-06,Transport
R00183,B000146,5,2025-05-09,Destination
R00184,B000402,1,2025-12-02,Overall
R00185,B000390,2,2025-02-14,Transport
R00186,B000915,5,2025-12-26,Destination
R00187,B000068,4,2025-08-20,Overall
R00188,B000350,1,2025-06-28,Transport
R00189,B000735,1,2026-04-15,Transport
R00190,B000250,2,2026-03-23,Hotel
R00191,B000982,1,2026-03-14,Overall
R00192,B000743,1,2026-04-28,Hotel
R00193,B000947,3,2025-05-08,Hotel
R00194,B000950,1,2026-04-12,Hotel
R00195,B000110,2,2025-04-06,Destination
R00196,B000460,2,2025-06-30,Transport
R00197,B000745,5,2025-10-30,Destination
R00198,B000009,5,2026-02-10,Destination
R00199,B000453,5,2025-11-11,Hotel
R00200,B000689,2,2025-11-01,Transport
R00201,B000793,3,2025-07-25,Hotel
R00202,B000416,3,2025-11-19,Hotel
R00203,B000864,5,2025-09-16,Transport
R00204,B000674,4,2025-09-18,Transport
R00205,B000046,5,2025-11-16,Hotel
R00206,B000278,3,2025-11-24,Transport
R00207,B000938,5,2025-06-29,Transport
R00208,B000003,4,2025-03-15,Overall
R00209,B000109,4,2025-06-13,Destination
R00210,B000345,4,2025-08-11,Transport
R00211,B000994,2,2025-03-29,Transport
R00212,B000705,4,2025-04-07,Hotel
R00213,B000148,2,2026-06-03,Transport
R00214,B000394,4,2025-06-02,Destination
R00215,B000940,2,2026-02-07,Hotel
R00216,B000220,4,2025-03-11,Overall
R00217,B000576,3,2026-06-14,Destination
R00218,B000465,4,2025-04-26,Overall
R00219,B000761,2,2025-08-03,Transport
R00220,B000753,4,2026-03-03,Overall
R00221,B000834,5,2025-04-20,Transport
R00222,B000120,1,2025-10-27,Overall
R00223,B000454,2,2026-03-05,Destination
R00224,B000692,4,2025-01-13,Destination
R00225,B000419,5,2025-01-14,Hotel
R00226,B000668,4,2026-03-06,Overall
R00227,B000636,3,2025-05-24,Hotel
R00228,B000371,2,2026-05-11,Hotel
R00229,B000101,5,2026-05-21,Transport
R00230,B000971,5,2026-04-25,Overall
R00231,B000826,5,2026-06-28,Overall
R00232,B000895,2,2026-03-25,Overall
R00233,B000300,3,2025-07-28,Destination
R00234,B000317,2,2026-06-25,Overall
R00235,B000324,5,2025-07-08,Transport
R00236,B000032,5,2025-11-16,Transport
R00237,B000170,1,2025-01-04,Hotel
R00238,B000309,2,2026-06-09,Overall
R00239,B000988,3,2025-11-19,Transport
R00240,B000205,3,2026-06-02,Hotel
R00241,B000508,3,2025-07-12,Transport
R00242,B000548,2,2025-06-20,Destination
R00243,B000360,4,2025-10-12,Transport
R00244,B000919,5,2026-04-16,Transport
R00245,B000094,5,2025-10-27,Transport
R00246,B000871,3,2026-03-08,Destination
R00247,B000744,5,2025-04-27,Destination
R00248,B000306,4,2026-02-27,Destination
R00249,B000768,1,2026-02-04,Hotel
R00250,B000429,4,2026-05-04,Transport
R00251,B000971,2,2025-02-01,Destination
R00252,B000037,4,2025-07-29,Hotel
R00253,B000030,4,2025-02-18,Hotel
R00254,B000545,5,2025-08-07,Transport
R00255,B000932,5,2026-02-18,Destination
R00256,B000064,5,2025-12-15,Destination
R00257,B000778,3,2026-02-15,Hotel
R00258,B000939,3,2026-02-07,Destination
R00259,B000487,3,2026-06-25,Hotel
R00260,B000867,5,2026-04-25,Destination
R00261,B000757,2,2025-11-16,Destination
R00262,B000215,3,2026-04-23,Hotel
R00263,B000855,4,2025-01-27,Transport
R00264,B000700,1,2026-01-29,Overall
R00265,B000013,4,2025-10-12,Transport
R00266,B000569,2,2026-06-06,Destination
R00267,B000655,2,2025-10-02,Destination
R00268,B000802,4,2025-04-08,Hotel
R00269,B000772,1,2026-01-30,Overall
R00270,B000476,1,2026-06-02,Transport
R00271,B000299,3,2025-01-09,Overall
R00272,B000192,3,2025-02-04,Transport
R00273,B000090,1,2025-12-27,Destination
R00274,B000640,2,2025-10-30,Transport
R00275,B000960,2,2025-10-26,Overall
R00276,B000081,3,2025-02-19,Hotel
R00277,B000703,2,2025-11-08,Overall
R00278,B000585,1,2025-11-06,Hotel
R00279,B000172,3,2026-04-08,Overall
R00280,B000213,5,2025-08-01,Hotel
R00281,B000285,3,2025-07-09,Hotel
R00282,B000685,2,2025-02-14,Hotel
R00283,B000299,3,2025-11-05,Destination
R00284,B000829,1,2025-12-20,Transport
R00285,B000370,2,2025-06-02,Destination
R00286,B000110,3,2026-02-03,Overall
R00287,B000096,3,2026-05-27,Hotel
R00288,B000401,3,2025-04-05,Destination
R00289,B000408,5,2025-11-09,Destination
R00290,B000734,4,2026-01-14,Transport
R00291,B000479,1,2025-01-11,Overall
R00292,B000164,3,2025-04-08,Destination
R00293,B000214,3,2025-08-04,Hotel
R00294,B000567,1,2025-03-16,Destination
R00295,B000335,2,2025-07-13,Transport
R00296,B000672,5,2025-03-22,Hotel
R00297,B000924,2,2026-05-04,Overall
R00298,B000355,3,2025-11-23,Hotel
R00299,B000552,2,2025-06-29,Hotel
R00300,B000832,1,2026-03-01,Hotel
R00301,B000211,2,2025-01-11,Overall
R00302,B000511,4,2025-11-22,Destination
R00303,B000306,5,2026-01-08,Overall
R00304,B000627,4,2026-03-18,Transport
R00305,B000744,5,2025-05-02,Hotel
R00306,B000141,4,2025-11-19,Transport
R00307,B000188,4,2026-02-23,Hotel
R00308,B000024,3,2026-03-11,Destination
R00309,B000013,1,2025-04-06,Transport
R00310,B000051,3,2026-06-17,Overall
R00311,B000707,5,2025-05-30,Transport
R00312,B000904,3,2025-08-02,Transport
R00313,B000410,4,2025-04-15,Overall
R00314,B000883,1,2025-03-23,Destination
R00315,B000730,2,2025-05-20,Hotel
R00316,B000808,2,2025-03-15,Transport
R00317,B000740,2,2026-02-04,Transport
R00318,B000200,5,2025-11-22,Destination
R00319,B000524,3,2025-08-01,Destination
R00320,B000526,4,2025-10-26,Destination
R00321,B000642,4,2025-11-26,Overall
R00322,B000797,3,2025-04-11,Destination
R00323,B000113,5,2025-06-11,Transport
R00324,B000675,2,2026-04-26,Hotel
R00325,B000834,1,2025-01-07,Destination
R00326,B000116,4,2026-06-06,Transport
R00327,B000415,4,2026-06-10,Transport
R00328,B000896,2,2025-05-19,Overall
R00329,B000025,5,2025-06-24,Overall
R00330,B000161,1,2025-04-23,Transport
R00331,B000804,2,2025-11-02,Destination
R00332,B000172,1,2025-04-27,Overall
R00333,B000702,1,2026-03-07,Hotel
R00334,B000902,4,2025-07-31,Transport
R00335,B000499,4,2026-06-12,Destination
R00336,B000485,4,2026-04-11,Transport
R00337,B000429,5,2025-08-07,Overall
R00338,B000373,1,2025-11-21,Transport
R00339,B000381,4,2025-01-14,Hotel
R00340,B000554,1,2025-02-06,Transport
R00341,B000896,5,2025-10-03,Transport
R00342,B000982,4,2025-09-15,Overall
R00343,B000866,4,2025-08-06,Hotel
R00344,B000120,3,2025-02-19,Hotel
R00345,B000307,2,2026-04-03,Hotel
R00346,B000757,4,2025-08-10,Destination
R00347,B000546,5,2025-09-14,Overall
R00348,B000335,1,2025-08-08,Destination
R00349,B000312,5,2025-09-29,Overall
R00350,B000118,4,2025-12-20,Overall
R00351,B000333,1,2026-02-21,Destination
R00352,B000422,5,2025-10-27,Destination
R00353,B000416,1,2025-04-01,Hotel
R00354,B000549,4,2026-04-22,Overall
R00355,B000273,1,2025-06-05,Overall
R00356,B000206,1,2025-01-09,Overall
R00357,B000888,4,2025-01-22,Overall
R00358,B000406,4,2026-02-26,Transport
R00359,B000255,4,2025-07-30,Hotel
R00360,B000636,2,2025-01-13,Overall
R00361,B000543,5,2026-03-19,Transport
R00362,B000577,1,2025-06-15,Overall
R00363,B000222,5,2026-06-17,Destination
R00364,B000724,2,2026-04-25,Transport
R00365,B000193,4,2025-01-27,Transport
R00366,B000837,5,2026-01-12,Destination
R00367,B000425,2,2025-11-25,Transport
R00368,B000410,3,2025-04-04,Transport
R00369,B000389,5,2025-07-06,Hotel
R00370,B000423,5,2025-09-25,Destination
R00371,B000666,2,2025-03-21,Hotel
R00372,B000497,3,2026-01-29,Hotel
R00373,B000127,2,2025-06-01,Hotel
R00374,B000567,3,2026-05-26,Destination
R00375,B000268,2,2026-03-13,Hotel
R00376,B000109,1,2025-12-12,Transport
R00377,B000840,5,2025-03-07,Hotel
R00378,B000313,4,2025-01-14,Destination
R00379,B000596,3,2025-03-21,Hotel
R00380,B000172,1,2025-09-30,Hotel
R00381,B000340,1,2026-03-02,Transport
R00382,B000386,3,2025-03-25,Destination
R00383,B000134,4,2026-01-21,Hotel
R00384,B000974,2,2025-01-27,Transport
R00385,B000312,4,2025-05-25,Overall
R00386,B000583,2,2025-11-23,Destination
R00387,B000566,1,2026-03-28,Overall
R00388,B000430,3,2026-02-28,Transport
R00389,B000586,1,2025-10-18,Overall
R00390,B000566,1,2025-01-20,Hotel
R00391,B000081,1,2025-06-09,Destination
R00392,B000670,2,2026-03-04,Transport
R00393,B000115,3,2025-02-14,Hotel
R00394,B000435,5,2026-01-20,Overall
R00395,B000365,2,2026-01-19,Destination
R00396,B000448,1,2026-02-14,Hotel
R00397,B000072,1,2025-04-29,Hotel
R00398,B000702,2,2025-05-14,Destination
R00399,B000419,2,2025-04-19,Destination
R00400,B000061,2,2025-08-03,Hotel
R00401,B000004,5,2025-10-13,Overall
R00402,B000541,2,2025-03-07,Destination
R00403,B000667,4,2025-11-06,Transport
R00404,B000548,4,2025-05-11,Hotel
R00405,B000721,1,2025-11-03,Transport
R00406,B000757,2,2025-06-15,Transport
R00407,B000872,3,2026-06-05,Hotel
R00408,B000983,3,2025-06-24,Transport
R00409,B000885,1,2026-04-20,Hotel
R00410,B000796,4,2025-04-06,Hotel
R00411,B000431,2,2025-02-16,Hotel
R00412,B000504,2,2025-04-13,Transport
R00413,B000617,4,2025-08-17,Transport
R00414,B000170,5,2026-05-07,Transport
R00415,B000678,5,2025-04-07,Destination
R00416,B000589,5,2026-03-04,Destination
R00417,B000521,3,2026-01-15,Hotel
R00418,B000835,1,2025-07-07,Overall
R00419,B000688,2,2025-07-03,Destination
R00420,B000933,2,2026-06-01,Transport
R00421,B000977,2,2026-01-25,Hotel
R00422,B000826,2,2025-05-11,Overall
R00423,B000298,1,2026-05-12,Destination
R00424,B000189,1,2025-08-10,Transport
R00425,B000300,4,2025-02-13,Hotel
R00426,B000713,3,2026-03-20,Hotel
R00427,B000865,1,2026-04-19,Transport
R00428,B000881,3,2025-08-30,Hotel
R00429,B000684,5,2026-01-19,Hotel
R00430,B000682,3,2025-05-08,Transport
R00431,B000952,2,2026-04-09,Hotel
R00432,B000686,2,2025-07-20,Transport
R00433,B000141,2,2025-05-26,Overall
R00434,B000501,2,2025-09-30,Overall
R00435,B000359,5,2025-05-26,Hotel
R00436,B000637,5,2025-12-05,Destination
R00437,B000636,2,2026-02-12,Overall
R00438,B000295,5,2025-08-10,Destination
R00439,B000300,5,2026-03-03,Transport
R00440,B000089,1,2025-08-24,Transport
R00441,B000294,3,2026-06-13,Hotel
R00442,B000828,4,2025-05-24,Transport
R00443,B000656,3,2026-01-20,Overall
R00444,B000944,3,2025-10-19,Destination
R00445,B000927,3,2026-05-30,Transport
R00446,B000857,4,2025-04-30,Hotel
R00447,B000180,2,2025-04-18,Overall
R00448,B000334,3,2026-04-18,Hotel
R00449,B000058,2,2026-05-07,Destination
R00450,B000094,5,2026-02-12,Transport
R00451,B000232,1,2025-09-16,Transport
R00452,B000281,1,2025-08-12,Hotel
R00453,B000016,1,2025-12-30,Transport
R00454,B000843,2,2026-02-12,Destination
R00455,B000528,4,2025-05-31,Transport
R00456,B000656,5,2025-01-04,Hotel
R00457,B000654,3,2025-02-10,Transport
R00458,B000967,1,2025-07-07,Hotel
R00459,B000148,2,2026-01-07,Transport
R00460,B000343,1,2025-08-28,Overall
R00461,B000309,3,2025-12-04,Overall
R00462,B000552,4,2025-09-14,Overall
R00463,B000527,1,2025-05-18,Hotel
R00464,B000791,4,2026-02-13,Transport
R00465,B000561,2,2026-01-30,Hotel
R00466,B000234,4,2026-06-09,Transport
R00467,B000565,5,2026-03-26,Destination
R00468,B000965,4,2025-07-27,Overall
R00469,B000579,4,2026-01-20,Transport
R00470,B000593,4,2025-07-11,Hotel
R00471,B000176,1,2026-04-21,Transport
R00472,B000008,1,2025-11-29,Transport
R00473,B000210,2,2026-03-31,Destination
R00474,B000026,4,2025-06-03,Hotel
R00475,B000453,4,2025-01-09,Destination
R00476,B000883,4,2025-03-19,Transport
R00477,B000447,2,2025-10-17,Destination
R00478,B000646,5,2026-06-09,Overall
R00479,B000856,3,2025-12-08,Hotel
R00480,B000764,2,2026-03-18,Overall
R00481,B000651,4,2025-09-13,Hotel
R00482,B000785,1,2026-06-07,Overall
R00483,B000281,3,2026-05-28,Transport
R00484,B000421,4,2025-04-29,Destination
R00485,B000399,4,2026-04-15,Overall
R00486,B000799,2,2025-01-10,Destination
R00487,B000409,1,2025-11-19,Transport
R00488,B000938,1,2025-08-27,Overall
R00489,B000187,1,2025-06-14,Transport
R00490,B000173,5,2026-05-24,Destination
R00491,B000717,4,2025-12-27,Destination
R00492,B000765,3,2025-03-17,Transport
R00493,B000680,3,2025-03-17,Hotel
R00494,B000308,2,2025-03-05,Transport
R00495,B000010,1,2025-06-15,Overall
R00496,B000322,1,2025-02-07,Destination
R00497,B000467,4,2025-05-24,Destination
R00498,B000413,1,2026-02-21,Transport
R00499,B000923,1,2026-04-22,Destination
R00500,B000864,4,2026-03-05,Transport
